lable	text
0	@chiniehdiaz only on ep 4 will still catch up pa 
0	hello! bank holiday monday and im board 
0	now for laundry and to clean the place......   not sooo much fun
0	Cannot actually keep my eyes open.., I feel like shit 
0	@jonthanjay  Thank you, J.  I can't sleep either...my Canucks lost! 
0	Yo! what up ma peeps? had a late night last night  so i am super tired! :'(
0	is working on her school  assignments. 
0	@MelissaWOOF that sucks 
0	Okay scratch that we missed out flight 
0	@xNitsuj Whattt!! I appreciated it 
0	@JuicyAri lol... i want it everyday... but i dont get it... 
0	lost my necklace  crappy...
0	Is up at at-em. More promo work... 
0	OMG, I just moisturised and my legs are BURNING me. It really hurts.  Go away.
0	Cant find my gameboy...  wht am i supposed to do in history now??
0	A part of my big toe's toenail broke off sometime yesterday morning  I hope it's not too raw/exposed still on Saturday during my test!
0	@verbs_n_nouns sounds like my worst fear 
0	Phones dead and I have no charger... 
0	 cant afford to see Angels and Demons, so i watched it for free: http://tr.im/lvBu
0	@paranoid_ I meant kiss kiss duh, predictive text on this  and oO. Doing anything today?
0	Back already, to windy tah go fishing.  Wonderin what I should do now?
0	Coming back 
0	hate my face 
0	@petalsntwigs yeah we are ok...it was a rumbling quake so you feel it &amp; hear it. No matter how many I've been still gets me nervous 
0	@krispycrunchx3 omg, i kno. they told us that the idols would come out and they set up the gates. but they totally lied. 
0	@TheFUA shit  The service does not work with classical music or live performances
0	#gfail strikes again ?!? not able to open gmail 
0	Kinda dreading school, cuz i have to be mean today. 
0	@lilmya215 nuthn much Chillin up NYC at school  u?
0	The muffin was good but MILK WAS A BAD CHOICE 
0	@suzannadanna Oh no! Not good not to tell! 
0	isPlayer Has Died! Sorry 
0	@RichHughesTLOBF Accessing interwebz from my phone, TLOBF doesn't always load right 
0	@dj_wonder Just about! I live near there so its all we have  lol Other than that - sun and fun! What are you up to this w/end?
0	I hate TV series... cuz at some point when ur just in the middle of living the show... it ends.  I sersly don't want Kyle XY to end.
0	Waking up early sucks  Just finished an 11miler on 3 hours of sleep and tired legs. Last night was fun and def worth losing rest over! &lt;3
0	Sick  going into Memorial Day weekend... bummer dude &lt;--- my surfer impersonation
0	@monodramatic Boo  Places like that shouldn't have closing days
0	missed Sam's spin tonight because of stooopid work  boo. http://plurk.com/p/vinwj
0	Changed the oil in my bike today. Shifting like butta! Long exhausting day and I just realized @abeautifuletdwn called me an hour ago 
0	@jima6636 forum isnt working again 
0	@Hetty4Christ  dont feel like that sometimes 
0	my cold has gone to worst - my head is double the usual size .. 
0	@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[
0	Epic ocd moment? I deleted my sims file that i spent hours building just because i set his favorite food wrong 
0	my to do list is bananas, before i leave for Europe BOOOO 
0	@chelsea_playboy R.I.P curls 
0	argh! why why why 
0	@Crazy_Cindy  BIG HUGGS
0	Just got my paycheck... April bonus can b deposited 2day the rest, gotta wait til Mon. 
0	@QuindaS  your right.... How was your trip
0	I hate waiting in lines 
0	is gonna be mad hungry when I get home. Forgot my money... 
0	Sold me desk for much needed money.  bye bye pretty
0	@soytraicy I do  ...It sucks so much, I've broken my right shoulder 3 times and fractured my right thumb, and now one of my right ribs :'(
0	Home from a 65 mi, 4900' ride in the mountains - new PB on Old La Honda! - and Garmin 705 corrupted the track - I hate it 
0	@RanjeetC I would LOVe to go to London! But I work too much 
0	@toxictinaaa : sorry i was such a bitchy asshole that day... member when we stopped being friends 
0	@Mr_PaulEvans I know  its stupid swollen.. I'm abt to go do that... lol
0	i dont like having no freinds  #marsiscoming
0	am trying play yovile on facebook but if feels 2 hard 
0	Just got back home. I watched Terminator.  It was okay.. Hahaha. Nuggets are out.. 
0	@James_McC I really want to but it's going to be really hard for me to get time off 
0	Can't believe I have to wait another 6 months for my phone contract to end! I'm bored now!!! The 12 month contract would have run out!!! 
0	...heading to Philadelphia to take sis to see the Liberty Bell, etc...then she has to leave    i hate goodbyes!
0	@dannygokey Milwaukee I live there! Where ya at? ;) Ha, jk. Btw, you were on TMZ last night! So I got to come in 3rd on AI to get on TMZ? 
0	@kingboola thanx! kinda new to this.. I know how 2 reply but I'm very interested in hearing the back and forth convo and can't... ???? 
0	i hate this war, i wish that it would all just end, he's been sent over there 5 times, going on 6  
0	Need a new lamp for my bedroom. Old one broke 
0	@bdeezy NY is poppin. That's y lol. And ima miss it when I move 
0	Gabby now hates me  
0	I just remembered i need to wake up for work 
0	@HandfulOfMinute I know ... 
0	everything is coming to an end!!! so sad 
0	@BIOSShadow BlackBerry Internet Service. 
0	@K8TGreen ill be praying for you 
0	Caley wishes that she broke my wrist.....  
0	Im going through @bbbbrittany withdrawals. 
0	a lot of people didn't know who they were 
0	@TimothyH2O and is the leighton video up or what ? you said you were gonna update me 
0	Not a good Sunday for me..feeling not so good 
0	trying to take my nose stud out but it hurts  the ball at the end won't to through the whole of the piercing 
0	I have such a bad headacheee 
0	mama he made it!!! I'm gonna be a blubbery fool all day... :-D... 
0	@matildajones alright, chick. when you're ready, drop me a mail. @louise_hendy 
0	@stereophonics wooohoooo, awesome guys, but AUTUMN? it's not even summer...  anyway. can't wait,love you, K.
0	Maybe next year Cavaliers 
0	Packing  Leaving tonight, hoping the weather is nice there.. I need SUN!!!!
0	@Tamarzipan haha i couldn't, my dad is watching tv 
0	@PsychicSophie aww I tried to listen but apparently I don't have the right program to dl the file 
0	having sunburnt feet sucks. 
0	feeling soo sick  entire body hurts. 
0	@LilyStarbuck  i was being nice 
0	wanting to talk to some of my fav. stars but nobody will talk!!  but im gonna keep looking for some of my fav. stars!!!! 
0	@mtvawards I can't see it 
0	@MrFresh0587 yeah i know. well...i'm going to bed. first day of my summer class tmrw. omg 4 hours for one class! 
0	don't like Mondays... 
0	Dead connection forces me to go to bed  boo...
0	I hate doing laundry 
0	It gets time to start thinking  in English again with a 10 day business trip to #Denver ahead   Please take the blanket out of you mouth
0	My phone is Broke and acting all wierd    Im heading out to see if i can get it replaced now.
0	And in some days i have to go to a wedding 
0	@macbella2 oh sorry I was making a video  It might work that way I will try it in a little bit and see  Editing right now lol
0	@jaay89 A few guests for lunch but nobody staying - yet. Must be a bugger for Shaun stuck inside on a day like this 
0	@NYCityMama How was Momapalooza?  I missed it 
0	@rynresa Oh no! Poor kid just can't cut a break 
0	Very sad and disappointed that @spryd and @jilliebear didn't come meet me at the airport 
0	this is the sickest thing i will see all week... i miss my STi    http://tinyurl.com/nqf89r (via @robdyrdek)
0	@ryantabora beers? haha when I'm 21 honey...in about a year. 
0	I tried to get up and goose bit me  no final fantasy for me.
0	Going to Hamburg for a funeral 
0	Just downloaded Mega Man 9. It's retro-hard! 
0	@canadamcflyfan That's the bad point of hockey. You love players but it's not the opinion of everyone and they get traded 
0	@tuquyenmach Sasha is probably out... 
0	@gingerocks where in Texas are you moving to? I'm in east Texas and been looking for a ht (zipper on back window of st broke)  98 wrang
0	i got discontented from the 1vs100 beta 
0	is at home... doctors appointment at 430... if I have whooping cough you are all going to cop it 
0	doesn't know how to use this 
0	Time to call it a day! Busy day ahead with office meeting, photo shoot, virtual tour shoot,  &amp; softball if my abdomen could just heal.   
0	@SyrupTiger I planned on watching Ghost and then I forgot  Damn it Carl: @SyrupTiger I planned on watching Gho.. http://tinyurl.com/ml5nw5
0	english was booring and we have french and maths next :| reallly dont wanna go art twilight tonight! 
0	@JasonBradbury call me retro but i like controllers 
0	@BrodyDalle Booo! And you never came to say hello   Hope the shoot went well &amp; come back soon!
0	@DaphneTX Morning!!!!! I finally made it in! 
0	@SebastianJ - 
0	#Wiebe Donkey Kong attempt concluded at 923400 SOOOOO close!!  Still better than I'll ever do.
0	@mmallorymurphyy Thanks! And good luck with your search. It is actually pretty tough these days 
0	I miss @kaylapace .... even though I kno she ain't missin' me...but it's ok...no one misses me anymore. 
0	TaVona is sad because she can't respond to those showing her love via direct messages on Twitter for some reason 
0	love your abstract thinking....but sorry no...starbucks? and maybe Ill let you sneak a peak...ok, not seriously 
0	@Kellenkellen yess!! i really miss it.. 
0	@timjingma @smtkeb aw sasha i almost cried when i saw you  aw man i love you girl! and timmy i never aw you! 
0	@DAUGHTRY4EVA id love to but I have to work  then have dr apptmnt  def another time!!
0	why are screening passes $200!? there goes my chance of meeting Megan Fox 
0	@yarinhochman OH, NOW I understand what @ahoova means. That talker.co.il/hilzfuld should not be public? Gotcha, although still dont agree 
0	Not wanting to go and get blood work done 
0	@TheMasonMusso Can't believe I couldn't get a ticket for Dublin show... been a big fan from Ireland for so long 
0	ahhhhh Im gna die!!!! @mileycyrus mail ain't com thru LOL  waaaa. xx
0	wuhuu miley goes on tour again ..... but not in germany 
0	i really really have to go pee, but no one wants to stop 
0	@lenamac I have a feeling the ballot box is going to have to wait for another time, yes? 
0	@DazzleMeThis usually i live on oranges when im sick but they havent worked lately  i cant wait till america coz it is SUMMER there!!!!
0	@thisreal4ever we've gotta make the best of it before it's all gone!  
0	@tWiTtaBrO99 sorry man. Forgot about the comp room  
0	lots of cleaning up to do after the fumigation 
0	@igortizz You don't love me anymore 
0	I am not sure what to do with this twitter business 
0	@Beekum Wish we could go. 
0	We just hit a bunny  #fb
0	Walked for 3 hours and half after I lost my bus ticket 
0	Haven't heard anything from hubby. Must mean he's had a really bad pain day. I don't even know if the surgery is going forward. No info. 
0	I really wish I didn't have stupid work tomorrow 
0	need to get to bed....have SAT subject tests in the morning (and ACT's are next week  ) oh well...let's hope this goes ok.
0	i don't wanna go to high school   i'll hate it. really.
0	@smileyeily what r u Doin for ur birthday?! Miss u on ur birthday 
0	@InfiniteP not too sure... I'm steadily trying to convince my family to buy houses out here and come live with us...Cgy is low on my list 
0	@Renesmeeeeee hello renesme!! ur cute!                                           
0	Good morning FB and Tweeps, on my way to the gym, I have lots of cardio to do. My Wii age is 47 and I was told that I'm obese. Gggrrr 
0	Ugh i'm in for a long day of laundry  when i should be hitting the pool side before getting shit faced tonight. Lameeeeee
0	@hypnophil  Im ok ty. Its like back to winter here today 
0	out of the shower.. wish i was goin surfing.  but nooo.. im goin to eat chinese in a bit.
0	Just got back from the hospital. Cut my leg and had to get stitches. 
0	No babysitter tonight. Date night cancelled 
0	so mutha effin bored 
0	Shayy I miss you 
0	Grr annoyed  Can my hubby get any dumber? I mean seriously just dumb as a door knob!
0	camping trip got snowed out  so ridiculous
0	I'm awake. On a Sunday morning and at punggol. Super tired 
0	,  i hatee the feeling summonees keeping sumthin from me .. 
0	why do the pittsburgh penguins like to upset me so much   
0	@jonas_lover24 Ok.. good! Wait! Does that mean I bring the party? lol... ok... only if you can.  i gotta go 2 graduation tomorrow... 
0	Today was hate @marily2500 day.. 
0	@hotpa I'm sorry at least she is in a wonderful place now and keep her in your heart forever. I had to do the same with a cat and a dog 
0	Royal oak is dead dead dead. Douche bags and a whack ass dj. So sad but that place us more than done 
0	@jessaford  you don't deserve to be sad on your day!
0	working 10-4 today on what could possibly be my last thunder shift of the summer! 
0	StackOverflow is down  How am I meant to amuse myself on a sunday morning now?
0	Go to vote fot the europeans voteeeee  But i don't feel me like an european so these votes r not importanttt 
0	@kindareal still not doing well with the contacts  im such a wuss!!
0	I cant sleep 
0	Thanks @zocore!!! So do I!! I'm going to the ville tomorrow...it won't be the same without you 
0	@trvsbrkr i hope the lil one feels better 
0	@Burnt_feet I love favourite-ing too... But I forget to sometimes 
0	whhhyyy does it have to be sunday already!!     that was quick
0	@BigSMO oh nice, never ask us if we want to come 
0	@jamesforlife give me a job at the ttc? So sick of unemployment 
0	@ASinisterDuck  Have a good time anyway pal  (Y)
0	@aquakat37 its true. Natalie is at disneyland. Amanda is at the zoo. You guys are at the mall. I have to clean the house 
0	@tommcfly you broke my heart saying this, even im brazilian one, im sure that you don't lose any fan, you're great 
0	@greggarbo Dang...traffic school's the worst! It sucks your soul out for the better part of a day when you could be playing music. 
0	@zane_z11comm I agree 
0	BEA        BROADWAY AND I MISS YOU. I WISH I HAD A CHEESECAKE TO EAT IN YOUR HONOR RIGHT NOW.
0	@robdyrdek When are you coming to lovely Altoona? Big Black was here two weeks ago eating at Cracker Barrel and I missed him. 
0	grad party three was awesome, seniors will truly be missed 
0	Leaving the house now for training in East Kilbride. Such an stupidly early start 
0	@RajaMukherjee yah that was a pathetic display of indian cricket..... succumbed to the chin music from the english bowlers... as always 
0	@apneatic That doesn't sound like a compliment 
0	@mandiiurie  that really sux!  I wish I could do sumthing 4 u... :,(
0	Oh well, now she's here 
0	I want my hay fever to go away! 
0	@sterniii ouw noooo  jst thought today of u in backing with the movie  fawk ..
0	Shocker Lakers win NBA Titlle  I wanted Orlando to win but not in the cards. Kobe Bryant is an unbelievable player
0	Just fell on the floor on my way to bathroom, my bum hurts so does my hand. This isn't very funny. I screamed too 
0	still trying for that iphone from #squarespace... forgot about it over the weekend 
0	@khscott2 i feel like it's just gonna be a no...blowing meeeee 
0	not much, man at work, 12yr old up stairs, i'm all alone 
0	Nice. Another D-bag is smoking near me. Why dont they just move the fuck away? Ashes are blowing at me in the wind. I cant move anywhere 
0	Leaving the big apple  had soo much fun reuniting with all the girls! Cannotttt wait til the apt next year!
0	@yellowchicken Cheyenne has been really good and calm today considering I have spent the day at home with her; am recovering from surgery 
0	@iheartuteddie Yeah, i was hoping to get the free one. (Hahaha!) Not yet out 
0	@maconcakes  They do make your hands turn orange.... you could be afraid of turning into Tigger. 
0	@princessrexall yeah i muchly prefer mine vertical than when they were horizontal....i just wish the left nip wasnt in 2 halves now 
0	I didnt get to buy Varsha anything. 
0	i cant sleep 
0	Time for sleep!!  320 Mile drive in the morning 
0	@shannakate me either but we have to split up for some of it 
0	@aaalan  yesss and time seems to go by too fast ==
0	#iremember how i was stunned by that txt msg  ---&gt; still am sometimes
0	That pretty well caps the day of fail.  Talked to my dad.  He forgot my birthday.  
0	(@DiscoMetalStu) I've been a wreck since my fiancÃ©ied two years ago. I still miss her. she was SOOOO beautiful! I need a hug. 
0	Is needing girlie fun..trying to arrange it with two people who live at opposite ends of the country is a damn nightmare,and not do-able 
0	Is it only Tuesday? It feels so much later in the week 
0	It's 8am and my day is already sucks 
0	@PaulBrodersen one more day.  
0	up &amp; at it. hanging out around the house, then work at 5ish 
0	@SilverVision  http://tinyurl.com/mfhq3v &lt;- Great Release. Maybe IÂ´m gonna buy it ;) But the IÂ´ll have to wait until July 
0	On ma way to el casa!! Hopefully ma day doesn't just consist of sleepin and being bored 
0	@whysoserious123 I'm sowy... I wish I could have helped you get some rest...  I love you... Maybe you should put your phone on silent and
0	just broke my MS bracelet  @awdree anytime!
0	Just got home from middle school. A girl thought I was my sister. She looked so happy to see me. 
0	I just ran overs a gopher and it died  i feel like shit now..
0	@sandymmarcon Oh sad!  I thought it was going to play tonight!   Boo.
0	Worship practiced changed from Thurs. night to Sat. AM. Guess I don't get to get out of class early on Thurs. 
0	wishes she had someone to drive to Martin County with her tomorrow 
0	still watching shows that I pvr'd in May... I am so behind on tv... 
0	@Robbsterr I want to watch it, too 
0	@BrittanyBayBeh I didn't   Well I did but I'm pretty sure it was on my other iPhone.
0	@enzoyug I had killer cough for 3 weeks - turned out I had bronchitis  take care &amp; get thyself a stash of antibiotic goodness!
0	having an orgy...too many girls. 
0	@mashable think its hard 2 get an answer from u  but thanks 4 the news 2day. xo
0	I'm hoping to be able to sleep tonight. I got that work thing tomorrow. 
0	Morning all, one very wet morning in glasgow and yet it's time to go out 
0	@tommcfly it is sunny down LDN? gosh, it is horrific up here in edinburgh-rain and more rain!! makes me sad 
0	&gt;&gt;&gt; Mood = Crying  boo hoo
0	Still waiting for my migraine to go away so I can get some sleep. It's just sad that the sun is already up 
0	By the way, a dude got a leg injury because of the accident we got into this evening.  poor guy. The CRV's got bumper battle scars too.
0	watching the D10. I SO miss shoe-shopping!!! I HATE MY LIFE!!!  decided NOT to 'follow' a certain famous girl. Her tweets are RETARDED!!!
0	Salty!!! I packed my lunch and left it on the counter  I do NOT want Subway for lunch today!!
0	supposed to leave to la, sick lagging it. i think we're gonna miss the parade 
0	Watching a mother duck and baby ducklings mourn the loss of their dead brother in my backyard is quite sad 
0	@foxxxamillion I know!! I didn't know y'all were going!!  next time fa sho!
0	I'm bummed that Gap bought out Athleta - I hate it when cool brands sell out, esp female POWER brands going mainstream - bleh! 
0	@jryanlaw Got my iphone3.0 update. Pissed ATT wont strt photo text messaging ability till l8r ths summer. Grrrrrrr  lk the new search tho
0	@marklwaltz they will usually offer you something to drink while you wait....so ashamed that I actually know that 
0	I need to do lots of work tomorrow  jealous of joely meeting George Michael :O so cool.. Interesting place too ;) carpark... subtle lol
0	@crimsonphoenixx ouccchhh holy those hurt  hopee he passes them soon
0	@xXMCR_LadyXx nope, too late &lt;/3  *runs away flailing arms and crying*
0	mom just went to the hospital. 
0	@knarleysurfer54 http://twitpic.com/7olm0 - wtf? when are you coming home? 
0	Had a GREAT time yesterday - I am going to miss everything when S leaves!  At least, D is here. Thank GOD!
0	There's always that one person that will always have your heart, you'll never see it comin cuz your blinded from the start 
0	@bet33 i ask my dad he said no  but ill go see them at your house instead jaja
0	This just in: SHELDON HAS A STALKER.. and not the hawt kind! 
0	@MsilltempeRED ...thanks 4 the b-day wishes sweetz!!! i miss u...even though u hung up on me 
0	has to take Aidan to the Dr today for his 4 month shots 
0	@geekachu that would have involed going near him 
0	living life with the rain from forks without the cullen 
0	walkin 2 class woke up late 
0	@elegantlyiam  cuz ovaries are bitches!
0	@elisepaul Oh and no I will not be in manto.  I made plans to spend the weekend with my grandparents for fathers day 
0	im up getting Ready foR woRk...followed by a woRkout...12 hRs of fun! Wat am i gonna do with this haiR?? 
0	@ThisCenturyAlex 
0	@Valeria_Garcia poor thing....that sucks      maybe should just call it a  &quot;day&quot; and go home.. . i gotta go, be back later-on feel better
0	@dansr What?  What the heck happened?  
0	@BerkiesMommy   I'm sorry!! Come over to Missy's and we can wedding plan!!!! hehe! Or just tell me what to do! (maybe not labels tho lol!)
0	http://twitpic.com/7r24m - McFly  wasnt that close tbh 
0	summer school monday 
0	@lizzylovesatl wish i could go..  but im grounded
0	@heykatiexcore I tried to text you and you didn't answer 
0	Friday lunches suck... Coz my lunch date Maddie isn't here 
0	im hungry and it sucks my parents arent hm yet 
0	Just got told my hours are getting cut at work.this suck I pay more in child support that what I take home 
0	@daagreb yah, it 3 ringed  but its still under warranty so i'm not to worried.....except for all my saved games!
0	I see lightning outside. I really don't mind it @ all UNLESS my baby isn't beside me then I'll be depressed. 
0	my f-ing everything hurts...didnt sleep all night 
0	why do i have to go to work?  I want to bust ghosts! 
0	@troubalex Not really good days for Germany regarding new laws being passed at the moment 
0	So decide to go outside and read, and it starts pouring, and now I'm stuck outsideee 
0	@Thesnipergecko Man thats insane. I'm waiting for my 3G jailbreak! I miss my full flexibility 
0	Day 6: its so fucking hot! I think i'll live in my dads heart, where its cold. 
0	today is the olimpic games in mu high school but i don't go because i have to go to de doctor 
0	@ForeverUK Lol, I will do! I am finishing up now. Wanted the day off today but it didnt happen.. 
0	@voodoogirl its closed already i think. 
0	@JonnyClash how did you passed 1600 error ??? 
0	I want to win a contest where you don't do aything but call 
0	Ouch, gas is $3 now 
0	@bigwormy @EuroRockRadio J&amp;G wrote 95% of songs. Already in process of forming with like-minded musicians. Hard but neeed decision. 
0	@sparklytosingle I saw your name in my calendar the other day, scratched out from when you were going to visit. WAH! 
0	@lore3440 @meglaura @TheOtherMia hah! have u seen this body? not tennis material yet. it was once upon a time.  those were the days.
0	#inaperfectworld, I would have an iPhone already 
0	This includes talking on the phone and etc......  Aint that crazy! 
0	@OFFICIALFTSK Awww I Know It Says To Fly But Darn This Economy  Ill Be There In Spirit. Rock Out And Show Em' How We (Texans) Do!
0	Just photoshopped an entire screen share and put it as my default. Hahaha. Poor KP 
0	I slept in this morning (til 8!), and I'm staying up late tonight (til 10!). I'm such an old lady now that I work for the forest service 
0	wonders if craked apps will work on 3.0 jb 
0	Idk anymore. But the doubt remains!  ~&gt;/@Nj31\&lt;~
0	@kojobaffoe Sorting stuff out? I am such a big procrastinator when it comes to that  Enjoy your day. Love to E &amp; K.
0	@iphone_dev downloaded redsnow for windows and i cant open ?!?! Sorry im a newbie 
0	maybe cinema tonight? the hangover? cinema has become quite expensive... 
0	Can't sleep  reaching for an ambien. I hate those things but they work at least.
0	@Lileks  me too. To tweets from Iran. I'm scared for them.
0	r CorbinBleu what is that Corbin? 
0	as i go and deal with two dead fish...i think boiled them  â« http://blip.fm/~8kktx
0	People are tweeting advice on how to combat tear gas in Iran.    #iranelection
0	french exam monday 
0	Yesterday was the first day in a very long time that I lost more followers than I gained. 
0	Just lost a staring contest with my grandmas cat 
0	I have done over 100 new tweets about #Squarespace and #trackle. I wish they would just pick me already 
0	Uh oh. Grandma Ruby (98) fell down when playing bags... Headed to the hospital! Will keep you posted, she says she's ok but sore 
0	When I am frustrated, I ate - not a good behavior I know, and I am working on it...but today I felt sad again so, lots of calories 
0	Home now and really tired  and i dont plan on sleeing tonight. ha
0	@claytonkennedy http://twitpic.com/7yh0l - aw  did u take law as a subject? ooh food lol
0	Totally bored tonight psh lame weekend 
0	im sooo tired and i havent really done anything all day...im also sad that bookie has to go to work i need some cuddle time 
0	i wanna go to warped tour 
0	It's such a pity they parted ways...  â« http://blip.fm/~8ltmn
0	@InternationalH &quot;wanna sex u up&quot; too! DJ obviously goin IN! I'm mad I dnt have a way 2 lock in 
0	Why wont it load 
0	hilo on my mind 
0	Time for mediation, have lost my paul smith watch  if you were a watch where would you hide? hmmmm.........
0	Might be going to Cornwall soon! Depends on hubby's work though  If we do it will be St Minver.Never been there before so am Googling it.
0	mmhhhhh ow yes ....studying 
0	@ToddBrink Oh no  Why? Got a better option?
0	having a hard time breathing.. 
0	@kirstymciver  but me &lt;3s you
0	@MomTV Fix-up for single moms?! Hmm....that would be a great show idea! Just need a web cam  Lookin' for deals someday will get 1
0	My Big Sister Is Going To Chi-Town  
0	@jamie_sterling how dar u come here and not tell me 
0	@Opotopo small slip on Tryfan few weeks back, felt side pull but didnt think it was bad. Muscle went between ribs. Did me for 2 weeks 
0	sister's 5th grade moving on ceremony  exactly the same when i did it 10 years ago. snap.
0	Contact the @RedCross for info if U have loved ones that may have possibly been on those trains in DC. 
0	Life truley sucks sometimes 
0	@jawilson thanks but I don't ever want to live in NV or KY 
0	@AngelIbarra Im sure you're bummed bout leaving home for so long  but completely stoked for Warped at the same time haha
0	miss my sis Christy very much.... Didn't see her for many days 
0	is chewing on a golf tee and, well, not killing time but... i could be working on my house. and instead, im working 
0	@AmandaAOK You may stop telling me  what a mess. He's not all that tho.. there's plenty better fish in the sea!
0	my leg hurts. I kept limping today. 
0	away upstairs to bed. gonna miss you twitter. will tweet as soon as i arrive home on monday! miss you already @jamie_grandison  xx
0	noooooo! the old one came back  utube... i h8 u!
0	@jalisha i'm sorry too 
0	@mrgunn No, it just does nothing . 
0	@thenewcities i was hoping you guys would win an mmva, 
0	talking to... no one 
0	Prom tonight, soooo excited! but no date, shame 
0	@FoodUrchin Never used to have to do this, and used to get loads of flowers and courgettes. But last 3-4 years crap. 
0	Spent yesterday in a bikini and sun-dress....today wondering whether I'm going to be able to hang out the washing 
0	Looking around the office, we sure don't look like we are on high alert. I hope I can finish my lung 
0	Virpi's last day.  Busy as tits.
0	@bydesign76 poor amy  it's not running. at all. ...and it's super expensive to fix. Suck.
0	Work is slow! 
0	@jimmybuffett I usually go every year, but this year I have to wait until you come to VA  Say hi to Great Woods for me!
0	Work is so slow, I'm seriously considering quitting my job this week 
4	I LOVE @Health4UandPets u guys r the best!! 
4	@MarlonRibunal thanks dude 
4	my iPod touch have this tendency to pick Jacky Cheung's songs every time I say Shuffle... 
4	3days till my birthday!! 
4	@jojova i have to wait until I get to Lazboy- my 2nd home to get the java  if in New York in Syracuse it's pick a pair...ask for Ruthie
4	Have a gig in Northampton at the racehorse tmw night 
4	@hiohmegan New shop?? 
4	@waynescoat Glad you got a kick out of that! 
4	@arthurficial Nah, it is meeting with Major Hospital group and Major Medical Funder. ;) I'll have to organise DBN sometime 
4	I miss making you all laugh. 
4	@sudell22 I LOVE that show Shan. Let's pretend we rented it together and watched it on a double date.  Tell the family hello.
4	@Katy_C Lovely, Katy! I'm looking forward to the birth of your new novel. 
4	@jeffreecuntstar i do! 
4	Dear Coachella, I hope you are having a lot of fun this year. Get wild and let loose this weekend. Get you next time.&lt;3 L o v e, b r e e 
4	@praval thanks a lot for the wishes and retweet 
4	Another great F1 race this morning  Congrats to Vettel and Red Bull. Also well done to Adrian Newey: 3 cars he designed in the top 8 today
4	@TheBetterSexDoc &quot;don't read about buddha, be the buddha&quot;  eckhart tolle 
4	It's a little rainy - but still heading out to hopefully catch that self-defense seminar.  Tee hee hee.  
4	I love watching service with a soy chai tea in hand in the cafe #FC  Delicious 
4	Enjoyin' the shit outta my Sunday! Have a great one everybody! 
4	is researching the aerodynamics of bees... hmmm, interesting!!  Learning something new everyday is refreshing 
4	@jonskeeetskeeet nah i've been watching it .. but I started from season 1 a few months ago 
4	Come on don't be shy!! Add me on facebook. Lesley pickering. 
4	@guybatty morning 
4	Guys Heres A Randomn Useless Fact : It Only Says 'Girl' In The Bible once 
4	@martine2323 aaahhhh... that's my kind of breakfast, cookies.   I'm crazy nuts this morning on the phone... other than that, doing superb!
4	Unsuccessfully tried to get my friend's car key out of his ignition... ~M~ 
4	taking my low rider bike to the workshop tomorrow 
